Tue Jun  9 11:52:52 2020    profile.out

         524392 function calls (519748 primitive calls) in 77.295 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.010    0.010 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pkg_resources/_vendor/packaging/version.py:191(Version)
      529    0.006    0.000    0.010    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/sre_compile.py:256(_optimize_charset)
        1    0.003    0.003    0.010    0.010 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/algorithms/flow/__init__.py:1(<module>)
     1566    0.010    0.000    0.010    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.010    0.010 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/algorithms/link_prediction.py:3(<module>)
        1    0.000    0.000    0.010    0.010 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/algorithms/smallworld.py:22(<module>)
      157    0.010    0.000    0.010    0.000 {cvxopt.misc_solvers.pack}
        1    0.000    0.000    0.009    0.009 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/algorithms/tournament.py:29(<module>)
        1    0.000    0.000    0.009    0.009 /software/anaconda2/envs/netbfe/lib/python2.7/uuid.py:45(<module>)
       94    0.009    0.000    0.009    0.000 {cvxopt.misc_solvers.trisc}
      155    0.009    0.000    0.009    0.000 {cvxopt.blas.tbmv}
        1    0.001    0.001    0.009    0.009 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/numpy/lib/financial.py:12(<module>)
        1    0.001    0.001    0.009    0.009 /software/anaconda2/envs/netbfe/lib/python2.7/email/base64mime.py:25(<module>)
      126    0.001    0.000    0.009    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pkg_resources/__init__.py:2765(_get_metadata)
   131/65    0.000    0.000    0.009    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pkg_resources/_vendor/pyparsing.py:3363(copy)
     1032    0.009    0.000    0.009    0.000 {posix.lstat}
      232    0.002    0.000    0.009    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pkg_resources/__init__.py:2055(<genexpr>)
15833/15832    0.008    0.000    0.009    0.000 {isinstance}
     5850    0.006    0.000    0.008    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/sre_parse.py:142(__getitem__)
        1    0.001    0.001    0.008    0.008 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/numpy/testing/_private/utils.py:4(<module>)
        1    0.002    0.002    0.008    0.008 /software/anaconda2/envs/netbfe/lib/python2.7/email/utils.py:5(<module>)
    61/11    0.000    0.000    0.008    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pkg_resources/_vendor/pyparsing.py:3288(leaveWhitespace)
        1    0.000    0.000    0.008    0.008 /software/anaconda2/envs/netbfe/lib/python2.7/ctypes/util.py:284(find_library)
 1968/723    0.007    0.000    0.008    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/sre_parse.py:152(getwidth)
        1    0.005    0.005    0.008    0.008 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/classes/graph.py:19(<module>)
     8637    0.008    0.000    0.008    0.000 {getattr}
        1    0.001    0.001    0.008    0.008 /software/anaconda2/envs/netbfe/lib/python2.7/decimal.py:116(<module>)
        1    0.006    0.006    0.008    0.008 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/scipy/sparse/csr.py:1(<module>)
44629/43890    0.007    0.000    0.008    0.000 {len}
        1    0.000    0.000    0.008    0.008 /software/anaconda2/envs/netbfe/lib/python2.7/ctypes/util.py:140(_get_soname)
       67    0.000    0.000    0.008    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/cvxopt/misc.py:757(snrm2)
        1    0.001    0.001    0.008    0.008 /software/anaconda2/envs/netbfe/lib/python2.7/tempfile.py:18(<module>)
      345    0.005    0.000    0.008    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/inspect.py:750(getargs)
     1880    0.004    0.000    0.007    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pkg_resources/_vendor/packaging/version.py:114(_parse_version_parts)
        1    0.003    0.003    0.007    0.007 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/scipy/sparse/linalg/isolve/iterative.py:1(<module>)
        1    0.001    0.001    0.007    0.007 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/readwrite/sparse6.py:23(<module>)
      434    0.007    0.000    0.007    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pkg_resources/_vendor/packaging/version.py:343(_cmpkey)
        1    0.006    0.006    0.007    0.007 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/scipy/sparse/csgraph/__init__.py:151(<module>)
        1    0.002    0.002    0.007    0.007 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/numpy/core/_internal.py:6(<module>)
        1    0.002    0.002    0.007    0.007 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/numpy/ma/__init__.py:41(<module>)
     2196    0.004    0.000    0.007    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pkg_resources/__init__.py:2069(dist_factory)
        1    0.007    0.007    0.007    0.007 /software/anaconda2/envs/netbfe/lib/python2.7/socket.py:45(<module>)
        1    0.001    0.001    0.007    0.007 /software/anaconda2/envs/netbfe/lib/python2.7/random.py:40(<module>)
       12    0.000    0.000    0.007    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pkg_resources/_vendor/pyparsing.py:2653(__init__)
       51    0.002    0.000    0.006    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/abc.py:86(__new__)
        1    0.001    0.001    0.006    0.006 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/numpy/lib/index_tricks.py:1(<module>)
